id,nombreInstitucion,codigoInstitucion,codigoCutComuna,nombreComuna,formaAudiencia,fechainicioAudienca,duracionMinutoAudiencia,codigoAudienciaInstitucion,lugarAudiencia,observacionesMateriaAudiencia,descripcionMateria,codigoActualDatasetRegistroPasivo,codigoPasivoInstitucion,nombrePasivoInstitucion,cargoNombrePasivo,nombrePasivo,apellidosPasivo,codigoNacionalidadIsoPasivo,fechaInicioPasivo,fechaTerminoPasivo,linkAudienciaReunionPasivo,linkViajesPasivo,linkDonativosPasivo,cargoFuncionPasivo,codigoActualDatasetRegistroActivo,codigoActualDatasetRegistroEntidadActivo,nombreActivo,apellidosActivo,documentoPaisActivo,codigoNacionalidadActivo,remuneradoActivo,nombreInstitucionActivo,codigoInstitucionActivo,rutActivo,codigoInternacionalActivo,nombreEntidadActivo,giroActivo,representanteActivo,naturalezaActivo,administradorActivo,tipoEntidadActivo
177564,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-10 16:00:00,60,AR1616,Valparaíso  Región de Valparaíso,Reunión con Consejo Asistentes de la Educación.,Ninguna de las anteriores.,80265,NR006-SP095,CAMARA DE DIPUTADOS,Diputado,Yasna,Provoste Campillay,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=95&parid=998,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=95,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=95,Diputado,442184,,MIGUEL,CASTRO ZAMORA,CHL,CHL,0,,,,,,,,,,
177565,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-10 16:30:00,30,AR1460,Valparaíso  Región de Valparaíso,Boletín Nº 9889  subsanación de ciertas deficiencias de la Ley Nº20.243  respecto a las obras cinematográficas.,Ninguna de las anteriores.,80233,NR006-SP054,CAMARA DE DIPUTADOS,Diputado,Issa,Kort Garriga,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=54&parid=967,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=54,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=54,Diputado,442189,,Andrés,Young Barrueto,CHL,CHL,0,,,,,,,,,,
177567,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-10 16:30:00,35,AR1490,Valparaíso  Región de Valparaíso,Políticas de niñez y adolescencia en Chile,Ninguna de las anteriores.,80229,NR006-SP067,CAMARA DE DIPUTADOS,Diputado,Carlos Abel,Jarpa Wevar,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=67&parid=855,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=67,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=67,Diputado,442191,,Fernando ,Barrientos Pérez,CHL,CHL,0,,,,,,,,,,
177573,CAMARA DE DIPUTADOS,nr006,5101,Valparaíso,Presencial,2015-06-11 14:15:00,15,AR1431,Valparaíso  Región de Valparaíso,Reforma Laboral,Ninguna de las anteriores.,80184,NR006-SP051,CAMARA DE DIPUTADOS,Diputado,Osvaldo,Andrade Lara,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=51&parid=924,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=51,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=51,Diputado,442212,,José Tomas,Morel,CHL,CHL,0,,,,,,,,,,
177574,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-11 14:30:00,30,AR1450,Eduardo Casrillo Velasco 2943 ,Proyecto de ley que modifica la Ley N° 20.423.,Ninguna de las anteriores.,80211,NR006-SP102,CAMARA DE DIPUTADOS,Diputado,Maya,Fernández Allende,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=102&parid=981,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=102,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=102,Diputado,442214,,ALEJANDRA,CÁRCAMO MANCILLA,CHL,CHL,0,,,,,,,,,,
177580,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-12 20:00:00,60,AR1585,Santiago  Región Metropolitana de Santiago,Proyecto de Modificación de Plantas Municipales,Ninguna de las anteriores.,80186,NR006-SP004,CAMARA DE DIPUTADOS,Diputado,Pepe,Auth Stewart,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=4&parid=925,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=4,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=4,Diputado,442237,,Marcelo,Barrales,CHL,CHL,0,,,,,,,,,,
177589,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-15 16:00:00,35,AR1647,Santiago  Región Metropolitana de Santiago,Proyecto de Ley de Carrera Docente,Ninguna de las anteriores.,80242,NR006-SP107,CAMARA DE DIPUTADOS,Diputado,Daniel,Melo Contreras,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=107&parid=990,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=107,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=107,Diputado,442259,,María,Castillo,CHL,CHL,0,,,,,,,,,,
177595,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-15 19:00:00,60,AR1457, Santiago,Proyecto de ley Bernales  en contra de la violencia y en resguardo de la integridad física de los carabineros en actos de servicio.,Ninguna de las anteriores.,80215,NR006-SP096,CAMARA DE DIPUTADOS,Diputado,Sergio,Gahona Salazar,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=96&parid=985,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=96,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=96,Diputado,442276,,KARINA,MARIN LOPEZ,CHL,CHL,0,,,,,,,,,,
177596,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-15 19:00:00,40,AR1499,Santiago  Región Metropolitana de Santiago,Proyecto de ley Bernales  en contra de la violencia y en resguardo de la integridad física de los carabineros en actos de servicio.,Ninguna de las anteriores.,80183,NR006-SP062,CAMARA DE DIPUTADOS,Diputado,Pedro Pablo,Alvarez-Salamanca Ramírez,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=62&parid=923,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=62,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=62,Diputado,442280,,MARCELO REINALDO,VIDAL GODOY,CHL,CHL,0,,,,,,,,,,
177597,CAMARA DE DIPUTADOS,nr006,13101,Santiago,Presencial,2015-06-15 20:30:00,30,AR1496,Santiago  Región Metropolitana de Santiago,Proyecto de ley Bernales  en contra de la violencia y en resguardo de la integridad física de los carabineros en actos de servicio.,Ninguna de las anteriores.,80196,NR006-SP018,CAMARA DE DIPUTADOS,Diputado,Loreto,Carvajal Ambiado,CHL,2014-11-29,,http://www.camara.cl/camara/agenda_lobby.aspx?spaid=18&parid=974,http://www.camara.cl/camara/transparencia/viajes.aspx?spaid=18,http://www.camara.cl/camara/transparencia/donaciones.aspx?spaid=18,Diputado,442284,,MARCELO REINALDO,VIDAL GODOY,CHL,CHL,0,,,,,,,,,,
